Args:
	algorithm: MCR
	checkpoint_freq: None
	data_dir: data
	dataset: RotatedMNIST
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 0
	output_dir: output/svdsvm/svd_5
	seed: 0
	steps: None
	test_envs: [5]
	trial_seed: 0
HParams:
	batch_size: 256
	class_balanced: False
	classification: svd
	fd: 60
	groupdro_eta: 0.01
	irm_lambda: 100.0
	irm_penalty_anneal_iters: 500
	lr: 0.001
	mixup_alpha: 0.2
	mldg_beta: 1.0
	mlp_depth: 3
	mlp_dropout: 0.0
	mlp_width: 256
	mmd_gamma: 1.0
	n_comp: 6
	resnet_dropout: 0.0
	weight_decay: 0.0
saved at step 0
env0_in_acc   env0_out_acc  env1_in_acc   env1_out_acc  env2_in_acc   env2_out_acc  env3_in_acc   env3_out_acc  env4_in_acc   env4_out_acc  env5_in_acc   env5_out_acc  epoch         loss          step          step_time    
0.9994643240  0.9849978568  1.0000000000  0.9892841835  0.9997857296  0.9901414488  0.9996785944  0.9927132447  0.9984999464  0.9828546935  0.9351762563  0.9425632233  6100.0000000  -23.07803594  6100          0.2604186320 
0.9994643240  0.9832833262  1.0000000000  0.9897128161  0.9998928648  0.9897128161  0.9996785944  0.9927132447  0.9989285332  0.9832833262  0.9547840994  0.9562794685  6200.0000000  -23.07111116  6200          0.2628679800 
0.9995714592  0.9849978568  0.9997857296  0.9892841835  0.9998928648  0.9918559794  0.9996785944  0.9944277754  0.9991428265  0.9849978568  0.9552126862  0.9579939991  6300.0000000  -23.10501943  6300          0.2711744857 
0.9995714592  0.9841405915  1.0000000000  0.9909987141  0.9998928648  0.9922846121  0.9996785944  0.9948564081  0.9991428265  0.9828546935  0.9524268724  0.9528504072  6400.0000000  -23.11495485  6400          0.2699510336 
0.9995714592  0.9845692242  1.0000000000  0.9892841835  0.9998928648  0.9905700814  0.9996785944  0.9909987141  0.9990356798  0.9824260609  0.9549983928  0.9545649378  6500.0000000  -23.10592826  6500          0.2673154783 
0.9993571888  0.9837119589  1.0000000000  0.9884269181  0.9996785944  0.9897128161  0.9995714592  0.9905700814  0.9986070931  0.9819974282  0.9501767920  0.9515645092  6600.0000000  -23.09320735  6600          0.2735323691 
0.9995714592  0.9832833262  0.9998928648  0.9884269181  0.9997857296  0.9918559794  0.9995714592  0.9927132447  0.9991428265  0.9837119589  0.9562841530  0.9597085298  6700.0000000  -23.06523452  6700          0.2641891146 
0.9995714592  0.9841405915  0.9998928648  0.9905700814  0.9998928648  0.9931418774  0.9996785944  0.9935705101  0.9991428265  0.9841405915  0.9584270867  0.9584226318  6800.0000000  -23.12584175  6800          0.2694435072 
0.9995714592  0.9841405915  1.0000000000  0.9905700814  0.9998928648  0.9918559794  0.9996785944  0.9944277754  0.9991428265  0.9815687955  0.9455694846  0.9468495499  6900.0000000  -23.13451210  6900          0.2696218109 
0.9995714592  0.9862837548  1.0000000000  0.9909987141  0.9998928648  0.9935705101  0.9996785944  0.9944277754  0.9991428265  0.9837119589  0.9492124719  0.9468495499  7000.0000000  -23.13258295  7000          0.2706288004 
